path,tracked,bytes,lines,category,review_depth,recommended_disposition,purpose_or_controls,imports,symbols,sha256
imgui/imstb_truetype.h,yes,199485,5085,Vendored dependency,Inventory only,Preserve upstream boundary,,stb_truetype.h; stdio.h; stb_truetype.h,my_stbtt_initfont; my_stbtt_print; main; main; stbtt__buf_seek; stbtt__buf_skip; stbtt__cff_skip_operand; stbtt__dict_get_ints; stbtt__cff_index_count; stbtt__isfont; stbtt_GetFontOffsetForIndex_internal; stbtt_GetNumberOfFonts_internal; stbtt__get_svg; stbtt_InitFont_internal; stbtt_setvertex; stbtt__GetGlyfOffset; stbtt__GetGlyphInfoT2; stbtt__close_shape; stbtt__GetGlyphShapeTT; stbtt__track_vertex; stbtt__csctx_v; stbtt__csctx_close_shape; stbtt__csctx_rmove_to; stbtt__csctx_rline_to; stbtt__csctx_rccurve_to; stbtt__run_charstring; stbtt__GetGlyphShapeT2; stbtt__GetGlyphInfoT2; stbtt__GetGlyphKernInfoAdvance; stbtt__hheap_free; stbtt__hheap_cleanup; stbtt__fill_active_edges; stbtt__rasterize_sorted_edges; stbtt__handle_clipped_edge; stbtt__sized_trapezoid_area; stbtt__position_trapezoid_area; stbtt__sized_triangle_area; stbtt__fill_active_edges_new; stbtt__rasterize_sorted_edges; stbtt__sort_edges_ins_sort; stbtt__sort_edges_quicksort; stbtt__sort_edges; stbtt__rasterize; stbtt__add_point; stbtt__tesselate_curve; stbtt__tesselate_cubic; stbtt_BakeFontBitmap_internal; stbrp_init_target; stbrp_pack_rects; stbtt__h_prefilter; stbtt__v_prefilter; stbtt__oversample_shift; stbtt__ray_intersect_bezier; equal; stbtt__compute_crossings_x; stbtt__cuberoot; stbtt__solve_cubic; stbtt_CompareUTF8toUTF16_bigendian_internal; stbtt__matchpair; stbtt__matches; stbtt_FindMatchingFont_internal,87f08919ae8e7223451d0e9d06b62829075d3e920c9e6ad436db9d7e7427ffce
mk2_background_deep_dive.md,yes,35967,800,Repository configuration/documentation,Inventory and text index,Maintain as appropriate,,,,50d0b4df222ce206e889bbe12c87e0d6acac13827caba46a6b7bfb6d9703043a
platform/Core/app_diagnostics.h,yes,330,18,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,,bdd_diag_init; bdd_diag_write; bdd_save_logf; bdd_clear_last_save_error,61c7d34ac326a034d486ab0d537d640ebbce83ffaadb006964b0659c3cb9617e
platform/Core/app_version.h,yes,165,10,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,,,9c0859ff4ce65fa43b0230f4a40ded8b99f22c9feb90d20f30b095c6c4ecc8c5
platform/Core/app_version_resource.h.in,yes,226,7,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,,,1ec36848f2d685bc19052480a99260324d7c7adff05d6868d81fef320de319cd
platform/Core/bdd_core.h,yes,10887,267,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,stddef.h; stdint.h; cstring; vector; string,init; init; init; bdd_core_load_bdb; bdd_core_parse_module_line; bdd_core_load_bdd; bdd_core_stage_load_bdb; bdd_core_stage_load_bdd; bdd_core_load_stage; bdd_core_rect_fits_module; bdd_core_object_fits_module; bdd_core_object_module_slop; bdd_core_find_fitting_module; bdd_core_find_fitting_module_in_lines; bdd_core_image_max_pixel; bdd_core_load2_bpp_for_max_pixel; bdd_core_mk2_scroll_factor; bdd_core_object_visible_at_camera; bdd_core_first_palette_for_image; bdd_core_collect_palettes_for_image; bdd_core_indexed_to_rgba; bdd_core_save_result_init; bdd_core_save_bdb; bdd_core_save_bdd,dce6e8bc643ef8c8ef57e0a00b39254ff16b3409878e4a62a22d864f799fa0a7
platform/Core/bdd_format.h,yes,746,40,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,Core/bdd_core.h; SDL.h,,c7a86861ccc842e33fe4e6b2826f583e684c66e4088799d84eb3e39102575c5b
platform/Core/bdd_metadata.h,yes,814,37,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,,bdd_metadata_save_records; bdd_metadata_load_records; editor_project_save_bdd_metadata; editor_project_load_bdd_metadata,ba944bede98332c9db78b7754a65a9b301414fb42432e6bbf472aff473624be8
platform/Core/bdd_metadata_editor.cpp,yes,2123,64,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/bdd_metadata.h; Core/editor_project_globals.h; cstdio; vector,metadata_from_image; metadata_to_image; editor_project_save_bdd_metadata; editor_project_load_bdd_metadata,437aafa21a7f64db9c512e54ce28a75e417ca492cede0064b336daaca6bdf911
platform/Core/editor_app_globals.h,yes,2806,95,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,,,af8c345b5ea984a33e6a69926f40e35f86a34c1d56dde9a2fbd95b89c42d90d5
platform/Core/editor_bridge.cpp,yes,3088,100,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,bg_editor.h; Core/editor_app_globals.h; Core/editor_project_globals.h; Core/editor_project_storage.h; Core/image_lookup.h; Core/image_processing.h; Core/world_module_utils.h; undo_manager.h; cstdlib; cstring,bg_editor_undo_save; bg_editor_set_action_label; bg_editor_snap_dist; bg_editor_visible_pixel_snap_enabled; bg_editor_object_snap_rect_at; bg_editor_object_hit_test_at; bg_editor_place_last_import,95044474767a2ea67184fc80e3b06f8751ee5c06dac4c6dc3850799055dde1c2
platform/Core/editor_commands.cpp,yes,1369,61,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/editor_commands.h; vector,editor_emit_command; editor_emit_unsaved_action; editor_emit_save_all; editor_emit_show_verify; editor_emit_show_preferences; editor_emit_open_mk2_tool; editor_drain_commands; editor_clear_commands,14448f4abbbc26da1bf03706fa4eb351cf18557089f60a8feee0cc3931799be8
platform/Core/editor_commands.h,yes,784,31,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,string; vector,editor_emit_command; editor_emit_unsaved_action; editor_emit_save_all; editor_emit_show_verify; editor_emit_show_preferences; editor_emit_open_mk2_tool; editor_drain_commands; editor_process_commands; editor_clear_commands,99afc9c4cc21a47d96eed19770a740e5c9d6697945922776feec19ca67ad0e32
platform/Core/editor_project_globals.cpp,yes,1841,80,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,Core/editor_project_globals.h; cstddef,,87b1b5610fbe1965f594760b23cb34e9f0247590a1099d45972217dc01c7ab74
platform/Core/editor_project_globals.h,yes,1990,86,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,Core/bdd_format.h; stdbool.h,,a9c9198e03602a0fee9d3f024365c9c2af987e25c8ce9b996477d973e93f31ba
platform/Core/editor_project_storage.cpp,yes,40362,1031,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/editor_project_storage.h; Core/editor_project_globals.h; limits.h; stdio.h; stdlib.h; string.h,editor_project_storage_refresh_globals; editor_project_next_capacity; editor_project_module_line_would_overlap; editor_project_storage_init; editor_project_storage_shutdown; editor_project_image_capacity; editor_project_object_capacity; editor_project_module_capacity; editor_project_palette_capacity; editor_project_reserve_images; editor_project_clear_selection; editor_project_clear_images; editor_project_clear_objects; editor_project_clear_modules; editor_project_clear_palettes; editor_project_clear_content; editor_project_reset_loaded_stage; editor_project_delete_image_slot; editor_project_delete_marked_images; editor_project_swap_image_slots; editor_project_reorder_images; editor_project_truncate_images; editor_project_reserve_images; editor_project_reserve_objects; editor_project_delete_object_slot; editor_project_move_object_slot; editor_project_sort_objects_by_layer_order; editor_project_reserve_modules; editor_project_append_module_line; editor_project_insert_module_line_before_enclosing; editor_project_delete_module_line; editor_project_set_module_line; editor_project_set_single_module_line; editor_project_reserve_palettes; sanitize_pal_name; editor_project_append_palette_slot; editor_project_set_palette_slot; editor_project_set_palette_color; editor_project_rotate_palette_range; editor_project_truncate_palettes; editor_project_delete_palette_slot; editor_project_replace_objects; editor_project_replace_object_rows; editor_project_replace_palettes; editor_project_replace_modules; editor_project_clear_palette_rgb555_cache; palette_raw_cache_capture; palette_raw_cache_matches_current; editor_project_set_palette_rgb555_cache; editor_project_get_palette_rgb555_cache,2b052268915eed2376f93aea0758194bf246c0f7eba4d9c6c0a885cb02085c7b
platform/Core/editor_project_storage.h,yes,3780,70,Core candidate,Detailed relevant sections inspected,Retain format algorithms; extract editor/runtime dependencies,,Core/bdd_format.h,editor_project_storage_init; editor_project_storage_shutdown; editor_project_image_capacity; editor_project_object_capacity; editor_project_module_capacity; editor_project_palette_capacity; editor_project_reserve_images; editor_project_reserve_objects; editor_project_reserve_modules; editor_project_reserve_palettes; editor_project_clear_selection; editor_project_clear_images; editor_project_clear_objects; editor_project_clear_modules; editor_project_clear_palettes; editor_project_clear_content; editor_project_reset_loaded_stage; editor_project_delete_image_slot; editor_project_delete_marked_images; editor_project_swap_image_slots; editor_project_reorder_images; editor_project_truncate_images; editor_project_replace_objects; editor_project_replace_object_rows; editor_project_replace_palettes; editor_project_replace_modules; editor_project_append_palette_slot; editor_project_set_palette_slot; editor_project_set_palette_color; editor_project_rotate_palette_range; editor_project_clear_palette_rgb555_cache; editor_project_set_palette_rgb555_cache; editor_project_get_palette_rgb555_cache; editor_project_truncate_palettes; editor_project_delete_palette_slot; editor_project_append_module_line; editor_project_insert_module_line_before_enclosing; editor_project_delete_object_slot; editor_project_move_object_slot; editor_project_sort_objects_by_layer_order; editor_project_delete_module_line; editor_project_module_line_would_overlap; editor_project_set_module_line; editor_project_set_single_module_line,bdbbc793a6d8e87f201bf9f85ec661e09a3dc13e68cf3c8ed9a37f8dd99a7a80
platform/Core/image_lookup.cpp,yes,358,17,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/image_lookup.h; Core/editor_project_globals.h; Core/editor_project_storage.h,img_free,571198684d724be044841efa0e81786a2ab594c3c9e3d33aa76a73db281e15ab
platform/Core/image_lookup.h,yes,216,17,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/bdd_format.h,img_free,523a7f2c3d176d145f36f2b437a64134b48aa3a3010e18c5bf6a01457fa6aaf2
